id,title,author,created_at,content,status,comment_status
"51","Wisła 2010","4","2010-06-14 16:27:00","&nbsp;<a href=""http://traugutt.net/lo/09_10/wyc1d/"" target=""_blank""><img src=""http://traugutt.net/lo/09_10/wyc1d/thumbs/_MG_1797.jpg"" border=""0"" alt="""" hspace=""7"" vspace=""3"" align=""left"" /></a>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;W dniu 9 czerwca od około godziny 7:45, w holu głównym można było zaobserwować dziwne poruszenie połączone z wesołymi minami i ciężkimi torbami. Otóż nie kto inny, a klasa 1d wybierała się na podbój Wisły. Punktualnie (mniej lub bardziej) o godzinie 8 zapakowaliśmy przeróżne torby, walizki, plecaki oraz siebie samych do autobusu i ku zdziwieniu wszystkich zgromadzonych udaliśmy się nie w tą stronę co powinniśmy. Czeka nas więc krótki, niezaplanowany postój. Nic strasznego, jedynie pan Kierowca nie został poinformowany, że wyjeżdża na 3 dni. Kilkanaście minut później, już z zapakowaną torba, odpalił 'metalową puszkę' i wyruszyliśmy w poszukiwaniu przygód. Kilkugodzinna jazda w temperaturze bliskiej wrzenia dała się nam we znaki, ale dobre humory nie opuszczały nas do końca wyprawy. Dalsza część dnia przebiegała w atmosferze rywalizacji. Oscypki, Autostopowiczki, Miłośnicy PKS-ów, Melanżownicy oraz reszta starała się jak najlepiej wykonać swoje zadania, z lepszym lub gorszym skutkiem. Drugiego dnia mieliśmy sprawdzian z naszych możliwości fizycznych. Kilkugodzinna wędrówka po górach (która z założenia miała nas wykończyć) zbytnio nas nie przeraziła. Może były słabsze momenty, ale takie zdarzają się nawet najlepszym! Były odciski, błoto, upał i 'zepsuta' kostka jednej z zawodniczek (tutaj wielki szacun dla Mateusza), ale mimo to wróciliśmy do pensjonatu dumni z tego co osiągnęliśmy. Zwieńczeniem tego dnia było ognisko, przy którym z zawziętością prezentowaliśmy swoje umiejętności muzyczne. Jak przystało na uczniów ""Traugutta"", noce wszyscy grzecznie spędzaliśmy w swoich własnych pokojach, przy blasku świec, czytając literaturę piękną. ;) Ostatniego dnia z żalem opuściliśmy pensjonat Limba i udaliśmy się na Równicę. Widoki piękne, pogoda piękna, tylko jakoś sandały nie pasowały do okoliczności i sporej ilości kamieni walającej się pod nogami, podczas schodzenia szlakiem do autokaru, czekającego na nas w Ustroniu. Po ok. 40 minutowym spacerze w dół szczytu wsiedliśmy do naturalnie klimatyzowanego autobusu i ze smutkiem udaliśmy się do domu. Nie zabrakło również McDonalda, który to najprawdopodobniej nastroił nas pozytywnie na dalszą część jazdy. Około godziny 18:00 czasu lokalnego dobiliśmy do portu zwanego 'Częstochowa City'. Troszkę zmęczeni, ale jednak zadowoleni z udanego wyjazdu wysiedliśmy i (oby) już na zawsze pożegnaliśmy naturalnie klimatyzowany autokar. <br /> Ogólnie wycieczkę uważamy za udaną i z nadzieją czekamy na kolejne (oby jeszcze lepsze!). Serdecznie dziękujemy prof. Izabelli Zawiszy, prof. Annie Swodczyk oraz prof. Danucie (nie Agacie) Arabas, za opiekę i cierpliwość.
Aga Janik - 1D","1","0"
"52","Zabawa w studiowanie","4","2010-06-14 16:29:00","&nbsp;<a href=""http://traugutt.net/lo/09_10/zabawa_w_studiowanie/""><img src=""http://traugutt.net/lo/09_10/zabawa_w_studiowanie/thumbs/IMG_6649.JPG"" border=""0"" alt="""" hspace=""7"" vspace=""3"" align=""left"" /></a>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Dobiegła końca II edycja ""Zabawy w studiowanie"" na Politechnice Częstochowskiej. Grupa zapaleńców z naszej szkoły pod skrzydłami profesora Napieralskiego wysłuchała w piątek 11 czerwca ostatniego z serii czterech wykładów Częstochowskiego Uniwersytetu Młodzieżowego.<br /> Były też nagrody. Główna czyli laptop niestety nie przypadała nikomu z Trauguciaków ( cóż szczęście nie dopisało), ale w konkursie ,,I ty możesz być innowacyjny"" wyróżnienie otrzymała praca teamu w składzie Lucyna Włodarczyk i Patrycja Wachel.<br /> Lucyna także została wybrana w drodze losowania i jest szczęśliwą posiadaczką materiałów promocyjnych Politechniki Częstochowskiej.<br /> A teraz cóż nam pozostało, miłe wspomnienia i czekamy na przyszłoroczną edycję ""Zabawy w studiowanie"".
Kornelia Gładysz","1","0"
"53","LIP DUB - ostatnia odsłona","4","2010-06-14 16:30:00","Jutro, we wtorek, odbędzie się wielkie nagrywanie na 6-8 godz. lekcyjnej (w tym czasie nie odbywają się lekcje). Obowiązuje 100% obecność na trasie. Od 1 do 5 godz. trwają normalne lekcje. Do 5 godz. musi być przygotowana dekoracja na poszczególnych odcinkach. Prosi się wychowawców o zwolnienie uczniów, którzy się tym zajmują.
DYREKCJA i organizatorzy","1","0"
"54","Projekt KORBA","4","2010-06-15 16:32:00","&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Z przyjemnością informujemy, że uczeń naszej szkoły Dominik Suszalski (IIEi) wziął udział w warsztatach liderskich Sezam i zakwalifikował się do kolejnego etapu Projektu KORBA - ""Liderskiego odjazdu"" - czyli tygodniowego, bezpłatnego obozu w trakcie wakacji. Warsztaty obejmowały swoją treścią budowanie zespołu, konflikty, asertywność, role lidera i metody komunikacji. Treści były przekazywane za pomocą nowoczesnych metod, z użyciem małych grup i praktycznych ćwiczeń umiejętności psychospołecznych. Gratulujemy!","1","0"
"55","Fizyka na świeżym powietrzu","4","2010-06-15 16:33:00","&nbsp;<a href=""http://traugutt.net/lo/09_10/ogrod_doswiadczen/"" target=""_blank""><img src=""http://traugutt.net/lo/09_10/ogrod_doswiadczen/Foto%20p.prof.%20Edyta%20Re%C4%87ko/thumbs/IMG_4737.JPG"" border=""0"" alt="""" hspace=""7"" vspace=""3"" align=""left"" /></a>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Aby móc pouczyć się ""na żywo"" 14 czerwca klasy I b, I c oraz część II b wyruszyły do Krakowa. Po przyjeździe na miejsce, razem z panią prof. Edytą Rećko i panem prof. Jackiem Napieralskim ruszyliśmy w stronę Ogrodu Doświadczeń, aby zagłębić tajniki nauki zwanej fizyką. Dzięki pomocy profesorów oraz pana i pani przewodnik każdy z nas mógł zrozumieć prawa rządzące naszym światem. Mogliśmy wejść do ogromnego kalejdoskopu, skakać na trampolinie, zobaczyć co powstanie po złączeniu wszystkich kolorów tęczy, czy też grać na różnych przedmiotach sprawdzając czy surowiec z jakiego są wykonane zmienia ich brzmienie. Skończyliśmy po półtorej godziny wspaniałej zabawy, aby ruszyć w stronę Rynku Głównego. Każdy z nas miał prawie dwie godziny czasu wolnego. O 17.30 wsiedliśmy do autokaru i ruszyliśmy w drogę powrotną. <br /> Bardzo dziękujemy za zorganizowanie wspaniałej wycieczki, która sprawiła, że to co na lekcjach wydaje się czasami trudne zostało przez nas w pełni zrozumiane.
Klasy: Ib, Ic, IIb","1","0"
"56","LIP DUB - epilog","4","2010-06-15 16:35:00","&nbsp;<a href=""http://traugutt.net/lo/09_10/lip_dub/"" target=""_blank""><img src=""http://traugutt.net/lo/09_10/lip_dub/Foto%20Adam%20Kaniowski/thumbs/_MG_2385.jpg"" border=""0"" alt="""" hspace=""7"" vspace=""3"" align=""left"" /></a>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;	Najpierw godziny przygotowań, a potem godziny oczekiwań na okrzyk &bdquo;Już idzzzzzie!&rdquo; i na Wasze kilka sekund na ekranie w pięciominutowym teledysku! Praca na planie okazała się głównie oczekiwaniem, ale, Kochani, byliście cudowni. &bdquo;Dla potrzeb Hollywood&rdquo; daliście z siebie bardzo dużo. Dziękuję wszystkim, myślę, że ok. 280 uczniom za ciężką pracę, ale i wspaniałą zabawę. <br /> Dziękuję: <br /> Klasie 1a za niezapomnianego Sylwestra, 1b za efektowne piżama party (pierze było nie tylko w sektorze C) i doświadczenia chemiczne sięgające aż do samego sufitu, 1c za zimowe zabawy w środku czerwca, 1d za kasyno rodem z Las Vegas, 1e za barwne hawajskie beach party na pływalni, 1f za huczną osiemnastkę, 2b za przekonujące odegranie odcinka serialu &bdquo;Daleko od noszy&rdquo;. Pozostali drugoklasiści byli wszędzie: w hadesie, w sali gimnastycznej, w świetlicy, w izbie pamięci, na pływalni. Dziękuję członkom zespołu rockowego i Zespołu Pieśni i Tańca &bdquo;Częstochowa&rdquo;, chórzystkom, palaczom, przedstawicielom subkultur, dresiarzom, spikerom w radiowęźle, sportowcom, kibicom, fotografom, szachistkom, prezenterom pogody, użytkownikom ekskluzywnej toalety męskiej. Dziękuję Lady Gadze i przyjaciołom oraz plażowiczkom z 2a, kosmitom z 2c, Harrym Poterkom i członkiniom Klubu Europejskiego z 2d, kuglarzom, tancerkom, rowerzyście, monocykliście z 2e, dziewczynom z lat 80-tych z 2f, kujonom, szydercom, dziennikarzom i aktorom z 2g oraz absolwentom. Dziękuję, że zostaliście po lekcjach i pomimo zmęczenia, głodu i pragnienia sprzątaliście szkołę. Dziękuję za nieocenioną pomoc pani prof. Annie Gołębiowskiej, pani prof. Agacie Frej-Pastusińskiej i wychowawcom. Daliśmy radę! Z niecierpliwością czekamy na efekt finalny. <br /> <br /> PS Proszę o przesłanie na mojego maila (agnieszka.henel@vp.pl) imiennych list uczniów z poszczególnych klas, którzy wzięli udział w nagraniu lip duba. Dane będą potrzebne do napisów końcowych. <br /> <br /> Organizatorzy: <br /> p.prof. Agnieszka Henel <br /> Czarek Stolecki &ndash; operator kamery <br /> Piotr Skoczylas &ndash; pomoc techniczna, montaż.
p.prof. Agnieszka Henel","1","0"
"57","Uwaga! Spotkanie Comeniusa","4","2010-06-16 16:36:00","&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Zapraszam wszystkich uczestników programu Comenius na spotkanie w dniu 17 czerwca (czwartek) do sali 14A na 8 godzinie lekcyjnej. Będzie to spotkanie, mające na celu przygotowanie wizyty naszych partnerów z Hiszpanii i Francji w październiku 2010. Obecność obowiązkowa.
p. prof. Ewa Ludwin","1","0"
"58","SZKOLNY KIERMASZ PODRĘCZNIKÓW UŻYWANYCH","4","2010-06-18 16:38:00","&nbsp;<img src=""http://traugutt.net/lo/09_10/_foto/mini/podreczniki.gif"" border=""0"" alt="""" hspace=""7"" vspace=""3"" align=""left"" />&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Biblioteka szkolna kieruje do uczniów i nauczycieli kolejny raz akcję pod nazwą &bdquo;Szkolny kiermasz książek i podręczników używanych&rdquo;. <br /> Regulamin kiermaszu: <br /> Książki prosimy przynosić do biblioteki z następującym opisem: <br /> 1.	W każdej książce należy wpisać ołówkiem imię i nazwisko ucznia oraz cenę książki. <br /> 2.	Należy zrobić listę zbiorczą z tytułami i ceną wystawionych do sprzedaży książek. <br /> Kiermasz odbywa się w bibliotece w następujących terminach: <br /> 21.06 &ndash; 25.06.2010 r.; 7.30 &ndash; 15.30 <br /> 28.06 &ndash; 09.07.2010 r.; 9.00 &ndash; 11.00 <br /> 23.08 &ndash; 27.08.2010 r.	; 9.00 &ndash; 11.00 <br /> 02.09 &ndash; 29.10.2010 r.; 7.30 &ndash; 15.30 <br /> Sprzedażą zajmuje się nauczyciel bibliotekarz z pomocą uczniów współpracujących z biblioteką. Akcja będzie trwała do końca października 2010 r. Do tego dnia każdy sprzedający zobowiązuje się do odebrania pieniędzy i niesprzedanych książek, a także do przekazania dla biblioteki 1 zł z każdej sprzedanej książki. Za zebrane złotówki zakupimy potrzebną literaturę, która zasili księgozbiór biblioteki szkolnej. <br /> Po zakończeniu kiermaszu książki nieodebrane zostaną włączone do księgozbioru biblioteki. <br /> Zapraszamy do udziału w kiermaszu.
n. bibliotekarki","1","0"
"59","Kolejny raz Szymon","4","2010-06-22 16:43:00","&nbsp;<a href=""http://traugutt.net/lo/09_10/dzien_sportu/konkurs/Fotorelacja%20nr%203/""><img src=""http://traugutt.net/lo/09_10/dzien_sportu/konkurs/Fotorelacja%20nr%203/thumbs/DSCN7302.jpg"" border=""0"" alt="""" hspace=""7"" vspace=""3"" align=""left"" /></a>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Zakończyło się głosowanie w konkursie na najciekawszą fotorelację z Dnia Sportu wykonaną aparatem innym, niż lustrzanka. Prace zgłosiło troje uczniów. Oceniło je 130 osób. 70% głosujących za najciekawsze uznało zdjęcia Szymona Łapaja z kl. IE (w tym roku to już trzeci szkolny konkurs wygrany przez chłopaka). Kolejne miejsca zajęli: Magdalena Abu-Gholeh z kl. IIa oraz Krystian Sputo z kl. Ie.<br /> Nagrodą dla zwycięzcy są &ndash; tradycyjnie &ndash; dwa bilety do kina ufundowane przez LOT.","1","0"
"60","Debata oxfordzka","4","2010-06-22 16:46:00","&nbsp;<a href=""http://traugutt.net/lo/09_10/debata/""><img src=""http://traugutt.net/lo/09_10/debata/thumbs/_MG_2038.jpg"" border=""0"" alt="""" hspace=""7"" vspace=""3"" align=""left"" /></a>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;W niedzielę odbyła się I tura wyborów. Zawsze przy takiej okazji trwa dyskusja na temat wyborczej frekwencji polskich obywateli. Jakie są jej przyczyny? Dlaczego warto, a dlaczego nie warto zagłosować? Odpowiedziom na takie pytania podołać musieli uczestnicy debaty oxfordzkiej, zorganizowanej w Traugucie przez Filipa Boreckiego, uczestnika akcji &bdquo;Masz głos, masz wybór&rdquo;. Tematem dysputy było hasło &bdquo;Nie idę na wybory &ndash; mój głos nic nie zmieni&rdquo;, a dwie trzyosobowe drużyny prowadziły wokół niego zażartą polemikę. Przedstawiciele Norwida w składzie: Dawid Rogacz, Wiktor Frączek oraz Michał Wilkosz bronili przedstawionej tezy, zaś nasz zespół - Michał Golling, Sara Mishchil i Agnieszka Krygier &ndash; odpierali ich argumenty przekonując publiczność, że warto głosować. Dodatkowym utrudnieniem był fakt, że oprócz swoich oponentów uczestnicy musieli również zmierzyć się z trudnymi pytaniami płynącymi ze strony publiczności, wśród której znaleźli się uczniowie częstochowskich liceów. I decyzją publiczności właśnie poniedziałkową debatę wygrali uczniowie Norwida. <br /> Wiele jednak dało nam to doświadczenie &ndash; dyskusja była świetną okazją do sprawdzenia swoich umiejętności oratorskich, zajrzenia do różnorodnych źródeł wiedzy oraz poczucia &bdquo;klimatu&rdquo; prawdziwych politycznych debat. A jak stwierdził pan dyr. Krzysztof Ponchała po zakończonej rywalizacji &ndash; politycy mogliby się nauczyć od naszych uczniów wiele na temat kultury słowa i sztuki rozmawiania. <br /> W przyjemnej atmosferze pożegnaliśmy gości, gratulując wygranym. Czekamy na rewanż we wrześniu!","1","0"
